,Date,change,News
4,2013-11-05,1,['U S  stocks slide ahead of ISM data  Dow Jones down 0 50']
5,2013-11-06,-1,"['U S  futures rise although Fed uncertainty remains  Dow Jones up 0 42', 'U S  stocks open higher  Fed tapering in focus  Dow Jones up 0 42']"
7,2013-11-08,1,"['U S  futures edge higher ahead of nonfarm payrolls  Dow Jones up 0 04', 'U S  stocks open higher after payrolls data  Dow Jones up 0 13']"
8,2013-11-11,-1,"['U S  futures mixed amid Fed speculation  Dow Jones up 0 08', 'U S  stocks open lower as Fed taper talk weighs  Dow Jones down 0 10']"
9,2013-11-12,1,"['U S  futures lower as Fed tapering still in focus  Dow Jones down 0 12', 'U S  stocks open lower on sustained Fed jitters  Dow Jones down 0 11']"
60,2014-01-28,-1,['Apple s  AAPL  iPhone sales lag Wall Street view']
69,2014-02-10,1,['Apple Buyback Program Support Ends  Why Carl Icahn Changed His Mind ']
70,2014-02-11,1,['Are European Corporate Tax Havens Benefiting From State Aid  ']
77,2014-02-21,-1,['US  Australia To Sign Tax Evasion Agreement']
85,2014-03-05,1,['Facebook Is Worth More Than Its Weight In Gold  Sort Of']
86,2014-03-06,-1,['Apple Moved Profits Away From Australia To Evade Taxes  Report']
94,2014-03-18,1,"['The US Virgin Islands  Business Lure', 'Nikon  Apple  McDonald s Escape Unscathed From China Consumer Rights Report Ordeal']"
95,2014-03-19,-1,['American Companies  Frustration In China Heightens']
102,2014-03-28,-1,"['U S  futures rise as markets eye upcoming data  Dow Jones up 0 23', 'U S  stocks open higher  UoM report ahead  Dow Jones up 0 32']"
103,2014-03-31,-1,"['U S  stocks open higher  eyes on Yellen speech  Dow Jones up 0 73', 'U S  futures rise on China stimulus speculation  Dow Jones up 0 26']"
105,2014-04-02,1,"['Asian shares gain with Nikkei 225 up 0 72  on weaker JPY', 'Asia stocks broadly higher  Nikkei ends up 1  on weaker yen', 'U S  futures rise ahead of data  Dow Jones up 0 12', 'U S  stocks open mixed after ADP report  Dow Jones down 0 12']"
106,2014-04-03,-1,"['U S  futures edge higher ahead of economic reports  Dow Jones up 0 18', 'U S  stocks edge higher after downbeat data  Dow Jones up 0 10']"
107,2014-04-04,-1,['Amazon And Twitter Fail Greenpeace Report Card On Green Energy']
