Sentiment,Text
0, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
0,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
0,@jokerrrr It stillllll hasn't arrived 
0,"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  "
0,@Anistorm Sorry 
0,@Born_4_Broadway Lost  and it was St. Ignacius Prepatory School. Haha.
0,trying to figure out this twitter thing...none of my friends are on  yet. Soo much to see.
0,my little pinky finger hurts so much.. 
0,"so far i have 311 veiws on all my sites put together,  most of them were me checking out the updates i made......"
0,"@JonathanRKnight @silver_tulip27 Um, that would be a hell no to the fugly poker dog pants on the cruise!  Hi Jonathan, sorry I missed you "
0,"Morning all, starving and dying for a cuppa but can't cos off to docs for fasting blood test in a little while "
0,The one day I have to go to school is the same day something exciting happens at parliament square 
0,someone keep me up....im at work 
0,@ScarlettDane no  mary &amp; i were going to go dress shopping tomorrow.
0,I am soooo tired @ work 
0,@laurenlenewx awww i'm sorry 
0,I need SIMS 3. Gaah! 
0,@imperiusrex Brahbrah. Ugh. Bed in a hour. 
0,Haha my house is creepy at night!!  It creaks and stuff..scary. lol..I'm gonna go to bed.
0,"Morning twitterati...... Large coffee and a bath on top of todays list, first appt 10am then loads of desk work. "
0,Blip.fm is undergoing maintenance.  http://blip.fm/
0,"@vindiekins Aww, you're leaving me?  Just was hoping for input -- I have avatars in the RP thread on MTP. Torn on personality..."
0,"completing reports and meetings this morning.  Interviewing people this afternoon, busy bee today blurrgghh "
0,"Stephen just left,  i miss him sooo much...."
0,"...people who have had this, and she says they have all been the same. It's vicious. "
0,; i miss family guyyy. 
0,im just a little bit bored down here in warrnambool  only so many animal docos you can handle
0,"@ThomasGudgeon Well yes, Shame that you can only get the plastic one for the first generation. "
0,is sad coz alison's leaving england to france tonight 
0,@islandiva147 I sent u a tweet yesterday but I don't know why it didn't work  I guess you're sleeping right now I am working soon noon !!!
0,"No, that's not him in the picture. I don't have any pics yet "
0,"@Claire_S Will you be videoing or streaming or podcasting, Tweeting or anything else? Can't make it unfortunately. "
0,@theresaxo I still can't believe you have to move. I will be over after work to help paint. aww RIP your walllllll 
0,@bradiewebbstack sway sway tour in julyyyyy! exitedd muchh  follow me pleaseeee? i need more followerss 
0,"going, going, aaand gone. poor moosie fell asleep in class   http://twitpic.com/2y82y"
0,I sooo cannot afford to get an iPhone 
0,just had a tonne of sad news today 
0,That overnight screwed up my sleep. 
0,ARGH why did the linux people have to call their task scheduler &quot;at&quot;? Makes it impossible to search for help with 
0,"@edibow haha, I have snot power too......1 week and counting! "
0,@Sheamus and the dont do 3D 
0,Cant watch @twitchhiker as streaming banned at work  Hope someone records as MP4 and can email it to me!
0,HATES Othello and needs 5 language features + effects by tomorrow 
0,"after the 1000. time watching...still don't really like the 5th Harry Potter movie  sad actually, i love the book though"
0,@amiefoley Yeah 
0,@hot30 Listening to your show as always. HOW COULD YOU PLAY HALF OF THE NEW GREENDAY SONG? &amp; you just totally crushed my little heart  &lt;/3
0,"@MarinaSg I KNOW, MAR!! I saw it in my updates!!  I don't understand.. are they changing again?"
0,@Tracy_R Evil!! I have a prawn salad 
0,@jwbrown83 it wasn't  bk down again now
0,"@LouLouK Gisburn is great, there are some nice little single track. Did you try some of the new bits? I havent been in a while "
0,I had a dream about one of the people who I follow and they follow me...he went to prom and I didn't 
0,Cases like sandra cantu break my heart... Also the reason I'm uber protective of my girls 
0,@jutecht btw...loved your baseball post...this is definitely best time of year...was disappointed red sox opener was rained out... 
0,"@piginthepoke had other stuff to do after finishing in here last night, rather late to bed  With curry sauce, or mushy peas?"
0,"ugh my head, too many margaritas for a monday  Can't wit for the Arsenal game though!!!"
0,"Ouch, I just bit my tongue as I sneezed. Blood tastes rough "
0,"aww man, i cough a lot these days and my throat hurts like hell...i might get a doctor check-up "
0,Fuck i ripped my last pair of jeans 
0,thinks that Nigella does a shit tea add 
0,"Sick, i guess no FTSK show tonight. "
0,"@GirlsGoneChild i'm sorry... go hold that little fable and inhale. feel better, sweet rebecca... "
0,I broke m.twitter.com too  http://twitpic.com/2ycz0
0,@dougiemcfly DONT do thaaat  or else i cant call you hot-dug anymore  HAHAHAHAHAHA
0,I still dearly miss the symfony dev environment when working with zend framework 
0,@ninirific I don't know but I'm coldy 
0,@ipv6freely gateway right?  
0,@baveo i actually prefer twirl but seem to be having issues with their new update. doesnt want to install on my comp. 
0,The Red Shore and ent will make this Tuesday a little more enjoyable...but that's after class  Hope I make it...
0,getting ready to go get my toenail lasered 
0,going to attempt a walk to see if that eases things 
0,"Today is not my day.  I've spilled my water twice.  Dropping the water bottle once.  It's not broken yet, but I'm expecting it.  "
0,its so nice out today i wish i didnt have to work today 
0,I'm cold  and nothing seems to be working today like its supposed too...let's see if I can fix something...
0,It's gonna be a long agonizing Tuesday. 
0,"intranet search results: looks like google , at first glance the relevance seems as bad as in almost every intranet "
0,why isn't BumpTop out for Mac yet? 
0,can't write anymore papers  five to go
0,suuuhleepy in class. zombie for the day. essay kept me up last night 
0,But no mutant superpowers.  Got pumped up with radioactive juice and nuthin'. Can't shoot web� no big green muscles� nothin'! 
