Text,Sentiment
Kickers watchlist XIDE TIT SOQ PNK CPW BPZ AJ trade method 1 method 2 see prev post,1
AAP user current downtrend break Otherwise short term correction med term downtrend,-1
user AAP MOVIE 55 return FEA indicator 15 trade year AWESOME,1
Monday relative weakness NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB,-1
user I would afraid short AMZN look like near monopoly eBooks infrastructure service,1
believe AAP uptrend back cross MA 50,-1
MNTA Over 12 00,1
red ready break,-1
OI Over 21 37,1
user add VXY long bottom today trade also get WPI near low,-1
PGNX Over 3 04,1
NKD look like good short Failed break price level resistance 116 today,-1
GOOG ower trend line channel test volume support,1
Too early short move Stock Market need days settle Patience COH BWD DT AAP PAY,-1
AAP watch tomorrow ONG entry,1
PHM PulteGroup Option Bear bet 1 5 Million 11 move April,-1
I assume FCX open tomorrow 34 25 trigger buy still much like setup,1
Short Setups display relative weakness AO COH PAY BWD DT SHD WTW P Prepare short stall ES F,-1
It really worry everyone expect market rally usually exact opposite happen every time shall see soon bac spx jpm,1
SK GAVE,-1
AAP GAMCO arry Haverty Apple Is Extremely Cheap Great Video,1
ovti ttm end Oct 2012 Negative 151 million operational cash flow 273 decline vs yoy ttm end oct 2011,-1
user Maykiljil post I agree MSFT go higher possibly north 30,1
GPS wow wa fast fast fade,-1
Momentum come back ETFC Broke MA200 resistance solid volume Friday ong set,1
AIG American International Group Option Traders bet 4 move next Friday,-1
HA Hitting 35 65 mean resume target 42 level,1
New Sony pre block tech patent unearth SNE 50 GME profit pre last one turn light,-1
user gameplan shoot today I like trend break May c h break OC weekly trend break back july 2011,1
user SPX 1464 90 Wave iv would 20 point lower 1467 00 KEY ES F HOD 1460 00 neckline 1458 50 bearish,-1
FCX gap well ideal entry look pull least 35 open entry,1
Wow good BKS T user sales Nook 13 holiday,-1
user great list particularly like FISV SYK All buy hold type check free list,1
The new wightwatchers ads fun light regular people interest I still trust WTW position,-1
ATHX upper trend line,1
AAP SPY QE 2013 Now bring Geithner,-1
NG nice PNF BY breakout need follow thru,1
Over extend stock market unexpected news FED minutes Down ESD panicky ES F NQ F,-1
X swing still,1
SPY ncle Ben need spice things little AAP people bore wake,-1
SWY 30 float short break ouch,1
AAP might close low day Bears control descend trendline Watch,-1
BIOF want 4 90 comin,1
FAN seek 200d I add synthetic short add 200d,-1
VS invert head shoulder play well able catch entry Eyes,1
All gme Gamestop short target spy,-1
EI close break My trigger 30 40,1
time get cloud stock VMW CM,-1
user BAC For quick Trade late But invest 11 98 good entry point IMHO,1
BAC happen next,-1
CHDN ong 49 02 Trailing Stop 56 66 6 prior Stops 54 17 49 88 49 82 45 47 43 02 41 92,1
AAP top April Aston Kutcher star jOBS Kinda like Facebook Social Network come FB,-1
AAP VOME today impressive At rate well probably get 30M share trade today,1
PI 3Q 10Q operational cash flow 9mos 20million 269 decline vs 9mos year ago,-1
