Date,Sentiment,Text
2013-11-05,0,U S  stocks slide ahead of ISM data  Dow Jones down 0 50
2013-11-06,-1,U S  futures rise although Fed uncertainty remains  Dow Jones up 0 42
2013-11-06,-1,U S  stocks open higher  Fed tapering in focus  Dow Jones up 0 42
2013-11-08,1,U S  futures edge higher ahead of nonfarm payrolls  Dow Jones up 0 04
2013-11-08,1,U S  stocks open higher after payrolls data  Dow Jones up 0 13
2013-11-11,0,U S  futures mixed amid Fed speculation  Dow Jones up 0 08
2013-11-11,0,U S  stocks open lower as Fed taper talk weighs  Dow Jones down 0 10
2013-11-12,0,U S  futures lower as Fed tapering still in focus  Dow Jones down 0 12
2013-11-12,0,U S  stocks open lower on sustained Fed jitters  Dow Jones down 0 11
2014-01-28,0,Apple s  AAPL  iPhone sales lag Wall Street view
2014-02-10,1,Apple Buyback Program Support Ends  Why Carl Icahn Changed His Mind 
2014-02-11,1,Are European Corporate Tax Havens Benefiting From State Aid  
2014-02-21,-1,US  Australia To Sign Tax Evasion Agreement
2014-03-05,0,Facebook Is Worth More Than Its Weight In Gold  Sort Of
2014-03-06,0,Apple Moved Profits Away From Australia To Evade Taxes  Report
2014-03-18,1,The US Virgin Islands  Business Lure
2014-03-18,1,Nikon  Apple  McDonald s Escape Unscathed From China Consumer Rights Report Ordeal
2014-03-19,0,American Companies  Frustration In China Heightens
2014-03-28,0,U S  futures rise as markets eye upcoming data  Dow Jones up 0 23
2014-03-28,0,U S  stocks open higher  UoM report ahead  Dow Jones up 0 32
2014-03-31,0,U S  stocks open higher  eyes on Yellen speech  Dow Jones up 0 73
2014-03-31,0,U S  futures rise on China stimulus speculation  Dow Jones up 0 26
2014-04-02,0,Asian shares gain with Nikkei 225 up 0 72  on weaker JPY
2014-04-02,0,Asia stocks broadly higher  Nikkei ends up 1  on weaker yen
2014-04-02,0,U S  futures rise ahead of data  Dow Jones up 0 12
2014-04-02,0,U S  stocks open mixed after ADP report  Dow Jones down 0 12
2014-04-03,0,U S  futures edge higher ahead of economic reports  Dow Jones up 0 18
2014-04-03,0,U S  stocks edge higher after downbeat data  Dow Jones up 0 10
2014-04-04,-1,Amazon And Twitter Fail Greenpeace Report Card On Green Energy
2014-04-07,-1,U S  futures hold downtrend  eyes on earnings  Dow Jones down 0 31
2014-04-07,-1,U S  stocks open lower  focus on earnings season  Dow Jones down 0 09
2014-04-09,1,Apple Explains Why Samsung Owes It  2 2B
2014-04-22,1,China Mobile iPhone Sales Seen Creating An Apple Holding Pattern In Q2
2014-04-23,-1,U S  futures edge lower ahead of data  earnings  Dow Jones down 0 06
2014-04-23,-1,U S  stocks open mixed to lower with data ahead  Dow Jones up 0 03
2014-04-23,-1,Apple Revenue Beats Estimate  OKs 7 for 1 Stock Split
2014-04-23,-1,Apple Q2 Earnings  Revenue Up  2 Billion
2014-04-24,0,U S  stocks rise on strong durable goods data  Dow Jones up 0 12
2014-04-24,0,U S  stocks gain on data  Ukraine weighs  Dow ends flat
2014-04-24,0,General Electric s  13 Billion Deal For French Industrial Giant
2014-04-24,0,U S  futures rise as markets eye upcoming data  Dow Jones up 0 28
2014-04-25,1,Apple Patent Suit vs  Google Gets Second Life
2014-04-28,1,U S  futures rise as sentiment recovers  Dow Jones up 0 28
2014-04-28,1,U S  stocks open higher  data ahead  Dow Jones up 0 58
2014-05-05,1,European stocks push sharply lower on Ukraine tensions  Dax down 1 48
2014-05-05,1,Jury Reaches Verdict In Apple Samsung Patents Trial
2014-05-09,0,U S  futures fall on Ukraine fears  earnings ahead  Dow Jones down 0 13
2014-05-09,0,A Big Deal  Apple Reportedly In Talks To Buy Beats For  3 2B
2014-05-09,0,U S  stocks edge lower in thin trade  Dow Jones down 0 13
2014-05-09,0,Report  Apple iPhone 6 Coming In August
2014-05-09,0,Dow Ends At Record High
2014-05-12,1,U S  futures edge higher in light trade  Dow Jones up 0 31
2014-05-12,1,U S  stocks open higher despite Ukraine worries  Dow Jones up 0 57
2014-05-22,0,U S  futures edge higher  eyes on economic reports  Dow Jones up 0 12
2014-05-22,0,U S  stocks mixed after jobless claims disappoint  Dow Jones down 0 12
2014-05-23,1,Morgan Stanley  Buy Apple  Now 
2014-05-29,1,U S  futures hold steady ahead of data  Dow Jones up 0 07
2014-05-29,1,U S  stocks open higher after mixed economic reports  Dow Jones up 0 19
2014-05-29,1, Microsoft To Put Salesforce Apps Into Windows Run Devices
2014-05-30,-1,Sequoia Capital Raises  530M For India Focused Fund
2014-06-02,-1,U S  stocks mixed ahead of ISM report  Dow Jones up 0 13
2014-06-03,1,U S  stocks open lower  eyes on data  Dow Jones down 0 24
2014-06-03,1,Why Tesla Motors Outlines Its Efforts To Root Out Conflict Minerals From Its Supply Chain
