,Date,change
0,2013-10-30,1
1,2013-10-31,0
2,2013-11-01,-1
3,2013-11-04,1
4,2013-11-05,0
5,2013-11-06,-1
6,2013-11-07,-1
7,2013-11-08,1
8,2013-11-11,0
9,2013-11-12,0
10,2013-11-13,1
11,2013-11-14,1
12,2013-11-15,0
13,2013-11-18,-1
14,2013-11-19,0
15,2013-11-20,-1
16,2013-11-21,1
17,2013-11-22,0
18,2013-11-25,1
19,2013-11-26,1
20,2013-11-27,1
21,2013-11-29,1
22,2013-12-02,-1
23,2013-12-03,1
24,2013-12-04,0
25,2013-12-05,-1
26,2013-12-06,-1
27,2013-12-09,1
28,2013-12-10,0
29,2013-12-11,-1
30,2013-12-12,0
31,2013-12-13,-1
32,2013-12-16,0
33,2013-12-17,0
34,2013-12-18,0
35,2013-12-19,-1
36,2013-12-20,1
37,2013-12-23,0
38,2013-12-24,0
39,2013-12-26,-1
40,2013-12-27,-1
41,2013-12-30,-1
42,2013-12-31,1
43,2014-01-02,0
44,2014-01-03,-1
45,2014-01-06,1
46,2014-01-07,-1
47,2014-01-08,1
48,2014-01-09,-1
49,2014-01-10,-1
50,2014-01-13,1
51,2014-01-14,1
52,2014-01-15,1
53,2014-01-16,0
54,2014-01-17,-1
55,2014-01-21,1
56,2014-01-22,0
57,2014-01-23,1
58,2014-01-24,-1
59,2014-01-27,0
60,2014-01-28,0
61,2014-01-29,-1
62,2014-01-30,-1
63,2014-01-31,1
64,2014-02-03,0
65,2014-02-04,1
66,2014-02-05,1
67,2014-02-06,0
68,2014-02-07,0
69,2014-02-10,1
70,2014-02-11,1
71,2014-02-12,0
72,2014-02-13,1
73,2014-02-14,0
74,2014-02-18,0
75,2014-02-19,-1
76,2014-02-20,0
77,2014-02-21,-1
78,2014-02-24,1
79,2014-02-25,-1
80,2014-02-26,-1
81,2014-02-27,1
82,2014-02-28,-1
83,2014-03-03,1
84,2014-03-04,0
85,2014-03-05,0
86,2014-03-06,0
87,2014-03-07,0
88,2014-03-10,0
89,2014-03-11,0
90,2014-03-12,0
91,2014-03-13,-1
92,2014-03-14,-1
93,2014-03-17,0
94,2014-03-18,1
95,2014-03-19,0
96,2014-03-20,0
97,2014-03-21,0
98,2014-03-24,0
99,2014-03-25,1
100,2014-03-26,-1
101,2014-03-27,0
102,2014-03-28,0
103,2014-03-31,0
104,2014-04-01,1
105,2014-04-02,0
106,2014-04-03,0
107,2014-04-04,-1
108,2014-04-07,-1
109,2014-04-08,0
110,2014-04-09,1
111,2014-04-10,-1
112,2014-04-11,0
113,2014-04-14,0
114,2014-04-15,0
115,2014-04-16,0
116,2014-04-17,1
117,2014-04-21,1
118,2014-04-22,1
119,2014-04-23,-1
120,2014-04-24,0
121,2014-04-25,1
122,2014-04-28,1
123,2014-04-29,0
124,2014-04-30,0
125,2014-05-01,0
126,2014-05-02,0
127,2014-05-05,1
128,2014-05-06,-1
129,2014-05-07,0
130,2014-05-08,0
131,2014-05-09,0
132,2014-05-12,1
133,2014-05-13,0
134,2014-05-14,0
135,2014-05-15,-1
136,2014-05-16,1
137,2014-05-19,1
138,2014-05-20,0
139,2014-05-21,0
140,2014-05-22,0
141,2014-05-23,1
142,2014-05-27,1
143,2014-05-28,0
144,2014-05-29,1
145,2014-05-30,-1
146,2014-06-02,-1
147,2014-06-03,1
148,2014-06-04,1
149,2014-06-05,0
150,2014-06-06,-1
151,2014-06-09,1
152,2014-06-10,-1
153,2014-06-11,0
154,2014-06-12,-1
155,2014-06-13,-1
156,2014-06-16,1
157,2014-06-17,0
158,2014-06-18,0
159,2014-06-19,0
160,2014-06-20,-1
161,2014-06-23,-1
162,2014-06-24,-1
163,2014-06-25,0
164,2014-06-26,1
165,2014-06-27,1
166,2014-06-30,1
167,2014-07-01,0
168,2014-07-02,0
169,2014-07-03,0
170,2014-07-07,1
171,2014-07-08,-1
172,2014-07-09,0
173,2014-07-10,1
174,2014-07-11,0
175,2014-07-14,1
176,2014-07-15,-1
177,2014-07-16,-1
178,2014-07-17,-1
179,2014-07-18,1
180,2014-07-21,-1
181,2014-07-22,0
182,2014-07-23,1
183,2014-07-24,0
184,2014-07-25,1
185,2014-07-28,1
186,2014-07-29,-1
187,2014-07-30,0
188,2014-07-31,-1
189,2014-08-01,1
190,2014-08-04,-1
191,2014-08-05,0
192,2014-08-06,0
193,2014-08-07,0
194,2014-08-08,1
195,2014-08-11,1
196,2014-08-12,0
197,2014-08-13,1
198,2014-08-14,0
199,2014-08-15,0
200,2014-08-18,1
201,2014-08-19,1
